source_entity,relationship_type,target_entity,source_document
Arts Educator,HAS_PREREQUISITE,B.A. in Art Education,Ghana Orange Economy 25 June 2025.pdf
Environmental Science Degree,HAS_PREREQUISITE,Environmental Awareness Program Coordinator,Senegal Green Economy 25 June 2025.pdf
Midwife,HAS_CHARACTERISTIC,Elastic,Senegal Lavender Economy 25 June 2025.pdf
Mining,LOCATED_IN,Sénégal,Senegal Bronze Economy 26 June 2025.pdf
Agroforestry,REQUIRES_SKILL,Sustainable Agriculture Projects,Kenya Green Economy 25 June 2025.pdf
Contract Manager,BELONGS_TO_DOMAIN,Iron Economy,South Africa Iron Economy 26 June 2025.pdf
Electrical Engineering,PART_OF_INDUSTRY,Green Construction,Kenya Green Economy 25 June 2025.pdf
Data Analysis,REQUIRES_SKILL,Azure,Ghana Platinum Economy 26 June 2025.pdf
Welder,LOCATED_IN,Ghana,Ghana Iron Economy 26 June 2025.pdf
Mining,BELONGS_TO_DOMAIN,Bronze Economy,Ghana Bronze Economy 26 June 2025.pdf
Youth,LOCATED_IN,Ethiopia,Ethiopia Yellow Economy 25 June 2025.pdf
Fashion Schools,LOCATED_IN,Thiès,Senegal Orange Economy 25 June 2025.pdf
Data Scientist,HAS_CHARACTERISTIC,Entrepreneurial,Senegal Platinum Economy 26 June 2025.pdf
Technical and Vocational Education and Training (TVET),INFLUENCED_BY,Iron Economy,Senegal Iron Economy 26 June 2025.pdf
Decent Work in the Informal Economy Initiative,IMPLEMENTS,Minimum Wage Regulations,Kenya Braonze Economy 25 June 2025.pdf
Soap Factory Workers,HAS_CHARACTERISTIC,Physical,Ghana Bronze Economy 26 June 2025.pdf
Agricultural Productivity,INFLUENCED_BY,Agriculture,Kenya Braonze Economy 25 June 2025.pdf
Landscape Coordinators,HAS_CHARACTERISTIC,Skilled,Kenya Braonze Economy 25 June 2025.pdf
Zapier,BELONGS_TO_DOMAIN,Platinum Economy,South Africa Yellow Economy 25 June 2025.pdf
Operational Manager,HAS_PREREQUISITE,Manufacturing Environment,Kenya Green Economy 25 June 2025.pdf
Economics-Management,REQUIRES_SKILL,English,Senegal Undergraduate Admission Prerequisites_.pdf
Solar PV Technician,REQUIRES_SKILL,teamwork,Kenya Green Economy 25 June 2025.pdf
Wind Turbine Technician,BELONGS_TO_DOMAIN,Green Economy,Kenya Green Economy 25 June 2025.pdf
Renewable Energy Technology,LOCATED_IN,Ghana,Ghana Platinum Economy 26 June 2025.pdf
Assistant(e) Suivi Evaluation,LOCATED_IN,Thiès,Senegal Lavender Economy 25 June 2025.pdf
Tour Guide,HAS_CHARACTERISTIC,Inelastic,Ghana Green Economy 25 June 2025.pdf
Kumasi,LOCATED_IN,Water and Sanitation Projects,Ghana Green Economy 25 June 2025.pdf
Sustainable Environmental Management,HAS_CHARACTERISTIC,Skilled,Senegal Undergraduate Admission Prerequisites_.pdf
Software QA,REQUIRES_SKILL,Cypress,Kenya Platinum Economy 26 June 2025.pdf
Public Communication,REQUIRES_SKILL,Curriculum Developer,Senegal Green Economy 25 June 2025.pdf
Ministry of Culture and Sport,GOVERNED_BY,National Cultural Policy,Ethiopia Orange Economy 25 June 2025.pdf
Registered Nurse,REQUIRES_SKILL,IV Therapy,Ghana Gold Economy 26 June 2025.pdf
Urban Youth,HAS_CHARACTERISTIC,Skilled,Senegal Orange Economy 25 June 2025.pdf
Administration publique,HAS_CHARACTERISTIC,Permanent,Senegal Yellow Economy 25 June 2025.pdf
Financing Locally -Led Climate Action (FLLoCA) Program,BELONGS_TO_DOMAIN,Green Economy,Kenya Green Economy 25 June 2025.pdf
Accra,LOCATED_IN,Cultural Institutions,Ghana Orange Economy 25 June 2025.pdf
Truck Driver,BELONGS_TO_DOMAIN,Iron Economy,Ghana Blue Economy 25 June 2025.pdf
Research Assistant,REQUIRES_SKILL,Computational Skills,Ethiopia Platinum Economy 26 June 2025.pdf
Technicien en Traitement de l'Eau,HAS_CHARACTERISTIC,Knowledge,Senegal Green Economy 25 June 2025.pdf
Groupe ISM,LOCATED_IN,Senegal,Senegal Gold Economy 26 June 2025.pdf
Solar Farm Technician,BELONGS_TO_DOMAIN,Iron Economy,Kenya Blue Economy 25 June 2025.pdf
Welder,BELONGS_TO_DOMAIN,Iron Economy,Kenya Iron Economy 26 June 2025.pdf
Clinical Research Coordinator/Manager,BELONGS_TO_DOMAIN,Lavender Economy,Ethiopia Platinum Economy 26 June 2025.pdf
Forestry Commission (FC),GOVERNED_BY,Forestry Management,Ghana Green Economy 25 June 2025.pdf
Resource Projects,LOCATED_IN,Northern Cape,South Africa Blue Economy 25 June 2025.pdf
Université Dakar-Bourguiba,TEACHES_SKILL,Economics,Senegal Gold Economy 26 June 2025.pdf
E-commerce Manager,PART_OF_INDUSTRY,E-commerce,Kenya Orange Economy 25 June 2025.pdf
Musician/Vocalist,LOCATED_IN,Kumasi,Ghana Orange Economy 25 June 2025.pdf
NGOs,IMPLEMENTS,Sustainable Agriculture Projects,Kenya Green Economy 25 June 2025.pdf
Climate Adaptation,REQUIRES_SKILL,Sustainable Forestry Practices,South Africa Green Economy 25 June 2025.pdf
Donor Funding,INFLUENCED_BY,Ecosystem Workforce,Ghana Platinum Economy 26 June 2025.pdf
Community Manager,REQUIRES_SKILL,Social media platforms,Senegal Orange Economy 25 June 2025.pdf
BCEAO,LOCATED_IN,Dakar,Senegal Gold Economy 26 June 2025.pdf
Ghana Climate Innovation Centre,HAS_CHARACTERISTIC,Knowledge,Ghana Green Economy 25 June 2025.pdf
Manufacturing and Industrial Technology,HAS_CHARACTERISTIC,Physical,South Africa Yellow Economy 25 June 2025.pdf
Volunteer,HAS_CHARACTERISTIC,Informal,South Africa Lavender Economy 25 June 2025.pdf
Stagecraft Equipment Operation,REQUIRES_SKILL,Technical Crew,Ghana Orange Economy 25 June 2025.pdf
USAID Ghana Fisheries Recovery Activity (GFRA),LOCATED_IN,Ghana,Ghana Blue Economy 25 June 2025.pdf
Corporate Tax Exemption,INFLUENCED_BY,Tech Startup,Ethiopia Platinum Economy 26 June 2025.pdf
DevOps Engineer,REQUIRES_SKILL,Linux,South Africa Yellow Economy 25 June 2025.pdf
Fauna & Flora,PART_OF_INDUSTRY,NGO/Conservation,Kenya Platinum Economy 26 June 2025.pdf
Creative Professional,BELONGS_TO_DOMAIN,Orange Economy,South Africa Orange Economy 25 June 2025.pdf
Game Designer,BELONGS_TO_DOMAIN,Orange Economy,Kenya Orange Economy 25 June 2025.pdf
Data Scientist,INFLUENCED_BY,Remote Work,Ghana Green Economy 25 June 2025.pdf
Cooperatives & Village Savings and Loans Officer,IMPLEMENTS,NGO projects,Ghana Yellow Economy 25 June 2025.pdf
Policy Development,BELONGS_TO_DOMAIN,Green_Economy,Senegal Green Economy 25 June 2025.pdf
Social Sector,HAS_PREREQUISITE,Community Mobilization,Kenya Yellow Economy 25 June 2025.pdf
Production Supervisor,BELONGS_TO_DOMAIN,Iron Economy,Kenya Iron Economy 26 June 2025.pdf
Maintenance Engineers,BELONGS_TO_DOMAIN,Iron Economy,Senegal Iron Economy 26 June 2025.pdf
Community Scouts/Rangers,HAS_CHARACTERISTIC,Gig,Kenya Blue Economy 25 June 2025.pdf
Product Designer,HAS_CHARACTERISTIC,Knowledge,Senegal Gold Economy 26 June 2025.pdf
Data Analysis,PART_OF_INDUSTRY,Data & Digital Skills,Ethiopia Yellow Economy 25 June 2025.pdf
Camtasia Specialist,BELONGS_TO_DOMAIN,Platinum Economy,Kenya Orange Economy 25 June 2025.pdf
Smart Agriculture,BELONGS_TO_DOMAIN,Platinum Economy,Kenya Platinum Economy 26 June 2025.pdf
Google Analytics,REQUIRES_SKILL,Digital Marketer / Social Media Manager,South Africa Orange Economy 25 June 2025.pdf
Electricians,PART_OF_INDUSTRY,Construction Sector,South Africa Iron Economy 26 June 2025.pdf
State-Owned Entities,BELONGS_TO_DOMAIN,Yellow Economy,South Africa Green Economy 25 June 2025.pdf
Techniciens Logistique,REQUIRES_SKILL,Transport Planning,Senegal Iron Economy 26 June 2025.pdf
Financial Advisor,REQUIRES_SKILL,Due Diligence,Senegal Platinum Economy 26 June 2025.pdf
Public Sector Roles,PART_OF_INDUSTRY,Public Sector,Lists of Job Platforms in our Countries.pdf
Informal Waste Picker / Recycler,REQUIRES_SKILL,Glass,Kenya Green Economy 25 June 2025.pdf
Building Jobs,LOCATED_IN,South Africa,South Africa Green Economy 25 June 2025.pdf
Curriculum Developer (ICT/STEM),REQUIRES_SKILL,Assessment Design,Senegal Platinum Economy 26 June 2025.pdf
Community Development Specialist,BELONGS_TO_DOMAIN,Yellow Economy,Senegal Yellow Economy 25 June 2025.pdf
Design Thinking Facilitator,REQUIRES_SKILL,Group Dynamics Management,Senegal Platinum Economy 26 June 2025.pdf
Digital Processes,INFLUENCED_BY,Digitalization,Senegal Gold Economy 26 June 2025.pdf
E-learning Technologies,REQUIRES_SKILL,Educational Curriculum Developer,Ghana Green Economy 25 June 2025.pdf
Risk Advisory Consultant,HAS_PREREQUISITE,CFA,South Africa Gold Economy 26 June 2025.pdf
Digital Space,LEADS_TO,Environmental Advisory,Senegal Green Economy 25 June 2025.pdf
DevOps Engineer,HAS_CHARACTERISTIC,Permanent,South Africa Yellow Economy 25 June 2025.pdf
Freelance Technical Writer,LOCATED_IN,South African,South Africa Gold Economy 26 June 2025.pdf
Therapy Aide,BELONGS_TO_DOMAIN,Lavender Economy,South Africa Lavender Economy 25 June 2025.pdf
UI/UX Designer,REQUIRES_SKILL,Figma,Ethiopia Platinum Economy 26 June 2025.pdf
Communications and Outreach Specialist,BELONGS_TO_DOMAIN,Orange Economy,Ethiopia Yellow Economy 25 June 2025.pdf
GIS,BELONGS_TO_DOMAIN,Green Economy,Kenya Green Economy 25 June 2025.pdf
Underwriting & Claims,LOCATED_IN,Eldoret,Kenya Gold Economy 26 June 2025.pdf
Modern Farming Techniques,TEACHES_SKILL,Asafoods Limited,Ghana Bronze Economy 26 June 2025.pdf
Energy Efficiency and Sustainable Construction sector,BELONGS_TO_DOMAIN,Green Economy,Ghana Green Economy 25 June 2025.pdf
Nature/Field Guide,LOCATED_IN,Drakensberg Mountains,South Africa Green Economy 25 June 2025.pdf
Big Data Platform Analytics Engineer,PART_OF_INDUSTRY,SAFARICOM,Kenya Platinum Economy 26 June 2025.pdf
Agro-industrie,BELONGS_TO_DOMAIN,Bronze Economy,Lists of Job Platforms in our Countries.pdf
Maternal and Child Health,IMPLEMENTS,Plan National de Développement Sanitaire et Social (PNDSS) 2019 -2028,Senegal Lavender Economy 25 June 2025.pdf
Ghana,LOCATED_IN,Transportation System,Ghana Iron Economy 26 June 2025.pdf
Startup Manager,PART_OF_INDUSTRY,SING SA,Senegal Platinum Economy 26 June 2025.pdf
Skilled Machine Operators,HAS_CHARACTERISTIC,Physical,Kenya Iron Economy 26 June 2025.pdf
Contract Roles,HAS_CHARACTERISTIC,Knowledge,South Africa Gold Economy 26 June 2025.pdf
Economics-Management,REQUIRES_SKILL,Economics,Senegal Undergraduate Admission Prerequisites_.pdf
Carbon Analyst,HAS_CHARACTERISTIC,Formal,South Africa Green Economy 25 June 2025.pdf
Skipper,PART_OF_INDUSTRY,Coastal and Marine Tourism,South Africa Blue Economy 25 June 2025.pdf
Research & Development Engineer,HAS_CHARACTERISTIC,Skilled,South Africa Yellow Economy 25 June 2025.pdf
Proofreader,REQUIRES_SKILL,Exceptional command of language,Ghana Orange Economy 25 June 2025.pdf
Seagoing Personnel,HAS_CHARACTERISTIC,Skilled,Kenya Blue Economy 25 June 2025.pdf
Commercial Enterprise,HAS_CHARACTERISTIC,Skilled,Kenya Braonze Economy 25 June 2025.pdf
Digital Marketing Manager,REQUIRES_SKILL,Digital Marketing,Ghana Orange Economy 25 June 2025.pdf
Stores Officer,PART_OF_INDUSTRY,GZI KENYA LIMITED,Kenya Iron Economy 26 June 2025.pdf
Data Analysis,REQUIRES_SKILL,Upwork,South Africa Platinum Economy 26 June 2025.pdf
3D Animation,REQUIRES_SKILL,NFT Artist,Ghana Orange Economy 25 June 2025.pdf
Kenya,IMPLEMENTS,Policy Interventions,Kenya Gold Economy 26 June 2025.pdf
Microfinance Field Officers,LOCATED_IN,National Periphery,Senegal Gold Economy 26 June 2025.pdf
Occupational Therapist,REQUIRES_SKILL,Physical Therapy Routines,South Africa Lavender Economy 25 June 2025.pdf
Sustainable Tourism Certification Auditor,LOCATED_IN,Big 5 Game Reserves,South Africa Green Economy 25 June 2025.pdf
General Manager – Information Systems Audits,BELONGS_TO_DOMAIN,Gold Economy,Kenya Gold Economy 26 June 2025.pdf
Kédougou,PART_OF_INDUSTRY,Senegal,Senegal Iron Economy 26 June 2025.pdf
Coding Bootcamp Instructor,REQUIRES_SKILL,Patience,Senegal Platinum Economy 26 June 2025.pdf
Concepteur et Développeur E-learning,HAS_CHARACTERISTIC,Knowledge,Senegal Platinum Economy 26 June 2025.pdf
Film,BELONGS_TO_DOMAIN,Orange Economy,Ghana Orange Economy 25 June 2025.pdf
Program Associate,HAS_CHARACTERISTIC,Gig,Ghana Yellow Economy 25 June 2025.pdf
Caregiver,REQUIRES_SKILL,Vital Signs Monitoring,Ghana Gold Economy 26 June 2025.pdf
Marine Biologist,PART_OF_INDUSTRY,Conservation NGOs,South Africa Green Economy 25 June 2025.pdf
Activities Coordinator,REQUIRES_SKILL,Planning,Ghana Gold Economy 26 June 2025.pdf
Plant Manager,REQUIRES_SKILL,Government Certificate of Competency,South Africa Green Economy 25 June 2025.pdf
Automation Mindset,REQUIRES_SKILL,Platform Engineer,Senegal Platinum Economy 26 June 2025.pdf
Analytical Models,PART_OF_INDUSTRY,Financial Institution,South Africa Gold Economy 26 June 2025.pdf
MBA in Project Management,PART_OF_INDUSTRY,Development Sector,Senegal Yellow Economy 25 June 2025.pdf
Data Analytics,HAS_PREREQUISITE,Digital Literacy,Senegal Lavender Economy 25 June 2025.pdf
Coastal Infrastructure Development,PART_OF_INDUSTRY,Blue Economy,South Africa Blue Economy 25 June 2025.pdf
Hybrid Professional,HAS_CHARACTERISTIC,Skilled,South Africa Green Economy 25 June 2025.pdf
conservation,BELONGS_TO_DOMAIN,Green Economy,Planning The Refracted Economies Framework.pdf
Adaptation Specialist,HAS_CHARACTERISTIC,Salaried,Ghana Green Economy 25 June 2025.pdf
Université Euro-Afrique Sénégal,LOCATED_IN,Sénégal,Senegal Undergraduate Admission Prerequisites_.pdf
Transport Infrastructure,BELONGS_TO_DOMAIN,Iron Economy,Kenya Iron Economy 26 June 2025.pdf
Academic Position,REQUIRES_SKILL,Teaching,Ethiopia Platinum Economy 26 June 2025.pdf
Centre de Formation Judiciaire (CFJ),BELONGS_TO_DOMAIN,Yellow Economy,Senegal Yellow Economy 25 June 2025.pdf
Renewable Energy Career,LOCATED_IN,Ghana,Ghana Green Economy 25 June 2025.pdf
Universities,TEACHES_SKILL,Business,Kenya Yellow Economy 25 June 2025.pdf
Brand Strategist,HAS_CHARACTERISTIC,Skilled,Senegal Orange Economy 25 June 2025.pdf
Education,PART_OF_INDUSTRY,Training,Ghana Blue Economy 25 June 2025.pdf
Environmental Education and Awareness,HAS_CHARACTERISTIC,Elastic,Senegal Green Economy 25 June 2025.pdf
Economic Liberalization,INFLUENCED_BY,Strategy Consulting,Ethiopia Platinum Economy 26 June 2025.pdf
lifeguards,HAS_CHARACTERISTIC,Skilled,Ghana Blue Economy 25 June 2025.pdf
Iron and Steel Exports,LOCATED_IN,Senegal,Senegal Iron Economy 26 June 2025.pdf
Operations Analyst,REQUIRES_SKILL,Diploma,South Africa Gold Economy 26 June 2025.pdf
Nestlé,PART_OF_INDUSTRY,Industrial Firms,Ghana Iron Economy 26 June 2025.pdf
Ar Vr Mobile Developers,HAS_CHARACTERISTIC,Knowledge,Kenya Platinum Economy 26 June 2025.pdf
Energy Auditor,REQUIRES_SKILL,Technical Engineering Knowledge,South Africa Green Economy 25 June 2025.pdf
Embedded Hardware Engineer,HAS_CHARACTERISTIC,Elastic,Kenya Platinum Economy 26 June 2025.pdf
MSc,HAS_PREREQUISITE,Engineering Discipline,Ethiopia Platinum Economy 26 June 2025.pdf
Impact Investment Manager,BELONGS_TO_DOMAIN,Green Economy,South Africa Green Economy 25 June 2025.pdf
Journalist,REQUIRES_SKILL,Research,South Africa Orange Economy 25 June 2025.pdf
Freelance Researcher,BELONGS_TO_DOMAIN,Yellow Economy,Senegal Yellow Economy 25 June 2025.pdf
Green Building Consultant,REQUIRES_SKILL,Community Liaison & Mobilization,Kenya Green Economy 25 June 2025.pdf
Wind Turbine Technician,HAS_CHARACTERISTIC,Skilled,Kenya Blue Economy 25 June 2025.pdf
Medical Coding and Billing,REQUIRES_SKILL,NHIS,Ghana Lavender Economy 25 June 2025.pdf
LARTES -IFAN,LOCATED_IN,Senegal,Senegal Orange Economy 25 June 2025.pdf
Medical School,REQUIRES_SKILL,First-degree CGPA of 2.5,Ethiopian University Admission Prerequisites_.pdf
Graduates,BELONGS_TO_DOMAIN,Platinum Economy,South Africa Gold Economy 26 June 2025.pdf
Elder Care (Geriatric Care),INFLUENCED_BY,Aging Population,Senegal Lavender Economy 25 June 2025.pdf
Event Coordinator,REQUIRES_SKILL,Organizational Rigor,Senegal Orange Economy 25 June 2025.pdf
garment industry,HAS_CHARACTERISTIC,Skilled,Ethiopia Orange Economy 25 June 2025.pdf
Digital health,PART_OF_INDUSTRY,Healthcare delivery,Ghana Platinum Economy 26 June 2025.pdf
Digital Tailor Agency,LOCATED_IN,Kenya,Kenya Orange Economy 25 June 2025.pdf
Seasonal Labor,HAS_CHARACTERISTIC,Informal,Senegal Bronze Economy 26 June 2025.pdf
Supervisors,BELONGS_TO_DOMAIN,Yellow Economy,Ghana Blue Economy 25 June 2025.pdf
Artificial Intelligence (AI) Specialist,REQUIRES_SKILL,cloud platforms,South Africa Yellow Economy 25 June 2025.pdf
Graphic Designer,HAS_CHARACTERISTIC,Knowledge,Ethiopia Orange Economy 25 June 2025.pdf
Management Consultant,HAS_CHARACTERISTIC,Skilled,Ghana Platinum Economy 26 June 2025.pdf
Construction Phase,INFLUENCED_BY,Redeployment,Senegal Iron Economy 26 June 2025.pdf
Audit Findings,REQUIRES_SKILL,Technical Report Writing,South Africa Green Economy 25 June 2025.pdf
Digital Media Designer / Graphic Designer,HAS_CHARACTERISTIC,Skilled,Senegal Platinum Economy 26 June 2025.pdf
Blue Economy Master Plan,IMPLEMENTS,Blue Economy,Kenya Blue Economy 25 June 2025.pdf
Treasury Analyst,HAS_CHARACTERISTIC,Skilled,South Africa Gold Economy 26 June 2025.pdf
"Integrate Mandatory ""Human Capital Plans""",INFLUENCED_BY,ARMP,Senegal Iron Economy 26 June 2025.pdf
Professeur des écoles,LOCATED_IN,Mbacke Kadior,Senegal Lavender Economy 25 June 2025.pdf
Medicine,HAS_CHARACTERISTIC,Skilled,Senegal Undergraduate Admission Prerequisites_.pdf
Artisanal Mining,LOCATED_IN,Siaya,Kenya Braonze Economy 25 June 2025.pdf
Play-Based Learning Facilitation,PART_OF_INDUSTRY,Disability Services,South Africa Lavender Economy 25 June 2025.pdf
Editor / Proofreader / Copywriter,INFLUENCED_BY,Websites,South Africa Orange Economy 25 June 2025.pdf
Personal Trainer,HAS_CHARACTERISTIC,Skilled,Ghana Lavender Economy 25 June 2025.pdf
Community Tourism Coordinator,BELONGS_TO_DOMAIN,Green Economy,South Africa Green Economy 25 June 2025.pdf
Japan International Cooperation Agency (JICA),LOCATED_IN,Ethiopia,Ethiopia Platinum Economy 26 June 2025.pdf
Guides,BELONGS_TO_DOMAIN,Orange Economy,Lists of Job Platforms in our Countries.pdf
Coastal Livelihoods,BELONGS_TO_DOMAIN,Blue Economy,Kenya Blue Economy 25 June 2025.pdf
Senior Lecturer,HAS_CHARACTERISTIC,Skilled,Ghana Yellow Economy 25 June 2025.pdf
Ghostwriter,HAS_CHARACTERISTIC,Skilled,Ghana Orange Economy 25 June 2025.pdf
Climate Action Pathway,PART_OF_INDUSTRY,Renewable Energy,Senegal Green Economy 25 June 2025.pdf
Electrician,HAS_CHARACTERISTIC,Skilled,Ghana Iron Economy 26 June 2025.pdf
Civil Servants,BELONGS_TO_DOMAIN,Yellow Economy,Senegal Yellow Economy 25 June 2025.pdf
Report Writing,TEACHES_SKILL,Data,Kenya Yellow Economy 25 June 2025.pdf
Agriculture Value Chains,PART_OF_INDUSTRY,Agriculture,Senegal Bronze Economy 26 June 2025.pdf
Agroforestry,PART_OF_INDUSTRY,Forestry,Ghana Green Economy 25 June 2025.pdf
Data Scientist - Credit,HAS_CHARACTERISTIC,Skilled,Kenya Gold Economy 26 June 2025.pdf
Motorbike Parcel Rider,HAS_CHARACTERISTIC,Physical,Kenya Iron Economy 26 June 2025.pdf
Ghana,INFLUENCED_BY,Sustainable Growth,Ghana Green Economy 25 June 2025.pdf
Aquaculture,LOCATED_IN,Eastern Cape,South Africa Blue Economy 25 June 2025.pdf
Chief Librarian,BELONGS_TO_DOMAIN,Gold Economy,Kenya Gold Economy 26 June 2025.pdf
Africa World Airlines,PART_OF_INDUSTRY,Air Transport,Ghana Iron Economy 26 June 2025.pdf
Community Health Social Worker,LOCATED_IN,Nairobi,Kenya Yellow Economy 25 June 2025.pdf
Ministry of Food and Agriculture (MoFA),GOVERNED_BY,Agricultural Extension Services,Ghana Bronze Economy 26 June 2025.pdf
Logistics and Supply Chain Manager,HAS_CHARACTERISTIC,Elastic,South Africa Green Economy 25 June 2025.pdf
NGOs,BELONGS_TO_DOMAIN,Yellow Economy,South Africa Green Economy 25 June 2025.pdf
Environmental Manager/Officer,HAS_CHARACTERISTIC,Knowledge,South Africa Iron Economy 26 June 2025.pdf
Construction Skills Council,PART_OF_INDUSTRY,Construction,Senegal Iron Economy 26 June 2025.pdf
Solar Photovoltaic (PV) Technician,REQUIRES_SKILL,"""Green Skills""",Ghana Iron Economy 26 June 2025.pdf
Fund Accountant,HAS_CHARACTERISTIC,Skilled,Ghana Gold Economy 26 June 2025.pdf
Project management,PART_OF_INDUSTRY,Visual Arts & Crafts,Senegal Orange Economy 25 June 2025.pdf
Career_Pathways,INFLUENCED_BY,Labor_Demand,Ghana Bronze Economy 26 June 2025.pdf
Python,HAS_PREREQUISITE,Pandas,Kenya Platinum Economy 26 June 2025.pdf
SACCO,REQUIRES_SKILL,IT,Kenya Gold Economy 26 June 2025.pdf
"Health, Nutrition, and WaSH Program Manager",LOCATED_IN,Ethiopia,Ethiopia Yellow Economy 25 June 2025.pdf
Tech Professional,HAS_CHARACTERISTIC,Permanent,South Africa Platinum Economy 26 June 2025.pdf
Marine Biology,REQUIRES_SKILL,Maritime Transport and Logistics,South Africa Blue Economy 25 June 2025.pdf
Fishing,LOCATED_IN,Eastern Cape,South Africa Blue Economy 25 June 2025.pdf
